А (Russian_0504_1)
предоставлять перевод всех материалов (Russian_0511_18)
сайта (Russian_0511_19)
на русском (Russian_0511_2)
ICANN.org (Russian_0511_20)
на шесть языков (Russian_0511_21)
Организации Объединенных Наций - (Russian_0511_22)
включая русский - в этом году. А пока мы (Russian_0511_23)
собрали воедино некоторые полезные (Russian_0511_24)
ресурсы на русском языке. Кроме того, уже (Russian_0511_25)
существует возможность поиска контента (Russian_0511_26)
на русском языке. (Russian_0511_27)
Сама страница скоро (Russian_0511_28)
будет переведена на русский. (Russian_0511_29)
языке (Russian_0511_3)
Что такое (Russian_0511_30)
ICANN? (Russian_0511_31)
Интернет-корпорация по присвоению имен и номеров - некоммерческая организация, отвечающая за (Russian_0511_32)
глобальную координацию системы уникальных элементов интернета, ее стабильную работу и (Russian_0511_33)
безопасную организацию. (Russian_0511_34)
Цели перевода материалов (Russian_0511_35)
ICANN (Russian_0511_36)
преследует две цели в отношении перевода: (Russian_0511_37)
1. Делать информацию о (Russian_0511_38)
ICANN (Russian_0511_39)
ICANN (Russian_0511_4)
и работе корпорации доступной для тех, кто не говорит по-английски. (Russian_0511_40)
способами, которые помогают совершенствовать эффективность и возможности сотрудничества в (Russian_0511_41)
рамках модели с участием многих заинтересованных сторон. (Russian_0511_42)
2. Сделать (Russian_0511_43)
ICANN (Russian_0511_44)
более эффективной глобальной организацией. (Russian_0511_45)
ICANN (Russian_0511_46)
предоставляет перевод (Russian_0511_47)
Статьи в блоге (Russian_0511_49)
GET STARTED (Russian_0511_5)
Приглашаем к обсуждению (Russian_0511_50)
вопроса соблюдения (Russian_0511_51)
договорных обязательств и (Russian_0511_52)
обеспечения мер защиты (Russian_0511_53)
потребителей (Russian_0511_54)
11 сентября 2017 года (Russian_0511_55)
I Jamie (Russian_0511_56)
Hedlund, SVP, Contractual Compliance (Russian_0511_57)
& Consumer Safeguards & Bryan (Russian_0511_58)
Schilling, Consumer Safeguards (Russian_0511_59)
NEWS & MEDIA (Russian_0511_6)
Director (Russian_0511_61)
h (Russian_0511_62)
Вниманию операторов сетей и (Russian_0511_64)
интернет-провайдеров: (Russian_0511_65)
English (Russian_0511_69)
POLCY (Russian_0511_7)
Русский (Russian_0511_73)
Log In] Sign Up (Russian_0511_76)
PUBLIC COMMENT (Russian_0511_8)
Secure (Russian_0511_82)
https://www.icann.org/ru (Russian_0511_83)
ICANN (Russian_0511_86)
Search ICANN.org (Russian_0511_88)
RESOURCES (Russian_0511_9)
1 - Microsoft Excel (Russian_0512_1)
Конструктор (Russian_0512_10)
Макет (Russian_0512_11)
Формат (Russian_0512_12)
Изменить тип (Russian_0512_13)
диаграммы (Russian_0512_14)
Сохранить (Russian_0512_15)
как шаблон (Russian_0512_16)
Строка/столбец (Russian_0512_17)
Выбрать (Russian_0512_18)
данные (Russian_0512_19)
Макеты диаграмм (Russian_0512_20)
Стили диаграмм (Russian_0512_21)
Тип (Russian_0512_22)
Данные (Russian_0512_23)
Диаграмма 4 (Russian_0512_24)
A (Russian_0512_25)
в (Russian_0512_26)
С (Russian_0512_27)
D (Russian_0512_28)
Е (Russian_0512_29)
Главная (Russian_0512_3)
F (Russian_0512_30)
G (Russian_0512_31)
Н (Russian_0512_32)
I (Russian_0512_33)
! (Russian_0512_34)
к (Russian_0512_35)
L (Russian_0512_36)
М (Russian_0512_37)
1 (Russian_0512_38)
2 (Russian_0512_39)
Вставка (Russian_0512_4)
3 (Russian_0512_40)
4 (Russian_0512_41)
5 (Russian_0512_42)
6 (Russian_0512_43)
7 (Russian_0512_44)
8 (Russian_0512_45)
9 (Russian_0512_46)
10 (Russian_0512_47)
11 (Russian_0512_48)
12 (Russian_0512_49)
Разметка страницы (Russian_0512_5)
13 (Russian_0512_50)
14 (Russian_0512_51)
15 (Russian_0512_52)
16 (Russian_0512_53)
17 (Russian_0512_54)
18 (Russian_0512_55)
19 (Russian_0512_56)
20 (Russian_0512_57)
21 (Russian_0512_58)
22 (Russian_0512_59)
Формулы (Russian_0512_6)
23 (Russian_0512_60)
24 (Russian_0512_61)
Наименование (Russian_0512_63)
Куплено. К (Russian_0512_64)
Продано. Кг (Russian_0512_65)
Клубника (Russian_0512_66)
50 (Russian_0512_67)
20 (Russian_0512_68)
Смородина (Russian_0512_69)
Данные (Russian_0512_7)
40 (Russian_0512_70)
30 (Russian_0512_71)
Вишня (Russian_0512_72)
60 (Russian_0512_73)
30 (Russian_0512_74)
Земленика (Russian_0512_75)
30 (Russian_0512_76)
20 (Russian_0512_77)
Общее значение (Russian_0512_78)
180 (Russian_0512_79)
Рецензирование (Russian_0512_8)
100 (Russian_0512_80)
Клубника (Russian_0512_81)
Смородина (Russian_0512_82)
Вишня (Russian_0512_83)
Земленика (Russian_0512_84)
Общее значение (Russian_0512_85)
Вид (Russian_0512_9)
 (Russian_0512_93)
На данном этапе изучения РР первоочередная зада- (Russian_0513_1)
Сические вкрапления (типа (Russian_0513_10)
неиз- (Russian_0513_11)
вестные русскому языку других республик. Более глу- (Russian_0513_12)
боким является воздействие на другие участки языко- (Russian_0513_13)
Твой системы, например, на управление (типа (Russian_0513_14)
вм. (Russian_0513_15)
в речи лиц, живущих на (Russian_0513_16)
Украине) 6, на интонацию, на фонетику? (Russian_0513_17)
Явления такого рода заслуживают специального и зу-- (Russian_0513_18)
чения (описание региональных разновидностей русского (Russian_0513_19)
ча - описать PP в наиболее чистом виде. Русская раз - (Russian_0513_2)
языка, теоретическая проблема различной степени про- (Russian_0513_20)
ницаемости языковой системы для влияний других язы- (Russian_0513_21)
ков) . Но такие задачи не ставились составителями. При (Russian_0513_22)
данном уровне наших знаний о РР было более важно пред-- (Russian_0513_23)
ставить ее в чистом виде, без посторонних примесей. (Russian_0513_24)
4. Отсутствие иноязычного окружения, однако, еще (Russian_0513_25)
не дает гарантий чистоты литературной РР. В общей сти- (Russian_0513_26)
хии городской речи литературная PP особенно интен- (Russian_0513_27)
сивно сталкивается с книжно-официальной, кодифициро- (Russian_0513_28)
ванной речью, с одной стороны, и с городским просто- (Russian_0513_29)
говорная речь в национальных республиках и автоном- (Russian_0513_3)
речием - с другой. В работе были приняты от гра ниче- (Russian_0513_30)
ния PP, основанные на экстралингвистических критериях: (Russian_0513_31)
6 См.: (Russian_0513_32)
к постановке вопроса о некото- (Russian_0513_34)
рых лексико-грамматических явлениях в русской раз- (Russian_0513_35)
говорной речи на Украине (отклонения от норм управ- (Russian_0513_36)
ления) . (Russian_0513_37)
мов" . Киев, 1964, стр. 167-186. (Russian_0513_38)
См., например: (Russian_0513_39)
ных областях (например, в Баку, Киеве, Самарканде, (Russian_0513_4)
Р. И. Аванесов. (Russian_0513_40)
Культура русского ли- (Russian_0513_41)
тературного произношения в Марийской АССР. "Уч. зап. (Russian_0513_42)
Марийского пед. ин-та", т. 3 (1942) . Йошкар-Ола, (Russian_0513_43)
1943; (Russian_0513_44)
Г. А. Махароблидзе. (Russian_0513_45)
О некоторых особенностях (Russian_0513_46)
русского произношения в Грузии. "Вопросы культуры (Russian_0513_47)
речи ", вып. 4. М., 1963; (Russian_0513_48)
Вокализм (Russian_0513_49)
Ереване и т.п.) не свободна от иноязычных влияний. (Russian_0513_5)
окающих говоров с редукцией сравнительно с литературным (Russian_0513_50)
произношением в некоторых его территориальных вариантах (Russian_0513_51)
( по данным осциллографии) . "Вопросы грамматики и лексико- (Russian_0513_52)
логии русского языка" . Казань, 1964; (Russian_0513_53)
Т. А. Тули- (Russian_0513_54)
на. (Russian_0513_55)
Особенности произношения русских согласных У (Russian_0513_56)
лиц, владеющих русским и украинским языками. "Раз- (Russian_0513_57)
витие фонетики современного русского языка", М. (Russian_0513_58)
"Наука", 1966. (Russian_0513_59)
Известно, что в речи лиц, живущих в иноязычном окру- (Russian_0513_6)
ай ван, a pы к шурпа) (Russian_0513_60)
смеяться (Russian_0513_61)
с кого (Russian_0513_62)
смеяться над кем (Russian_0513_63)
8 (Russian_0513_64)
3.М. Аламухамедова. (Russian_0513_65)
"Дослідження з укрaiнськоїi та російськоi- (Russian_0513_66)
7 (Russian_0513_67)
жении, наблюдаются изменения, возникающие под влия- (Russian_0513_7)
нием окружающих языков. Так, в речи лиц, живущих в (Russian_0513_8)
республиках Средней Азии, имеются значительные лек- (Russian_0513_9)
ПРОГУЛКИ (Russian_0514_1)
рита". До начала перестройки, когда произведения Булгакова были еще за- (Russian_0514_11)
прещены, дом, в котором проживал писатель, был местом встречи прогресс- (Russian_0514_12)
сивной молодежи. (Russian_0514_13)
Сюда приходили художники, которые рисовали на стенах сцены и персонажей (Russian_0514_14)
романа. Здесь также собирались хиппи и панки. После перестройки в кварти- (Russian_0514_15)
ре Булгакова был открыт музей, но в настоящее время здесь располагается (Russian_0514_16)
галерея, в которой представлены работы на тему произведений Булгакова. (Russian_0514_17)
Мы вам советуем посетить это место, чтобы прочувствовать саму атмосферу (Russian_0514_18)
булгаковского времени и ощутить присутствие нечистой силы. Квартира Бул- (Russian_0514_19)
БУЛЬЕВАРНОЕ КОЛЬЦО (Russian_0514_2)
гакова открыта для широкого посещения. Не удивляйтесь, если во время ва- (Russian_0514_20)
шего посещения "Дома Булгакова" с вами будут происходить странные вещи: (Russian_0514_21)
например, в соседнем подъезде есть квартира с табличкой, на которой напи- (Russian_0514_22)
сано "Воланд". Вы сразу же подумаете об известном персонаже романа Бул- (Russian_0514_23)
гакова... Ан нет! Здесь просто располагается фирма, занимающаяся продажей (Russian_0514_24)
офисной мебели. Оригинально, да? (Russian_0514_25)
СТРАСТНОЙ БУЛЬВАР (Russian_0514_26)
Страстной бульвар начинается у Пушкинской площади и заканчивается у Пе- (Russian_0514_27)
тровских ворот. (Russian_0514_28)
Страстной бульвар получил свое название от стоявшего вблизи него Страст- (Russian_0514_29)
105 (Russian_0514_3)
ного женского монастыря. (Russian_0514_30)
в (Russian_0514_31)
в. часть площади у Петровских ворот была занята садом перед домом (Russian_0514_32)
князей Гагариных. В средней же части, против Большой Дмитровки, в (Russian_0514_33)
первой половине (Russian_0514_34)
в. существовала Сенная площадь. Площадь не напрасно (Russian_0514_35)
носила название Сенной: два раза в неделю зимой и летом на ней устанавли- (Russian_0514_36)
вали рядами возы соломы и сена, которые быстро раскупались. (Russian_0514_37)
Затем на этом месте на средства Е.А.Нарышкиной был построен сквер, на- (Russian_0514_38)
званный Нарышкинским. В 1937 г. Нарышкинский сквер был переименован в (Russian_0514_39)
Патриарших прудах, появились два гражданина..." Недалеко отсюда жил (Russian_0514_4)
Страстной бульвар. (Russian_0514_40)
Из известных людей здесь бывали А.С.Пушкин, Стендаль, С.В.Рахманинов, (Russian_0514_41)
И.А.Крылов и др. (Russian_0514_42)
ПЕТРОВСКИЙ БУЛЬВАР (Russian_0514_43)
Петровский бульвар начинается у Петровских ворот и заканчивается у Труб- (Russian_0514_44)
ной площади. (Russian_0514_45)
Бульвар назван по выходившему на него Высоко-Петровскому монастырю. (Russian_0514_46)
Местность известна с (Russian_0514_47)
в., когда здесь, в лесу, на возвышенности над ре- (Russian_0514_48)
кой Неглинной, был построен Высоко-Петровский монастырь. (Russian_0514_49)
М.Булгаков. (Russian_0514_5)
в (Russian_0514_50)
В. здесь размещался "лубяной торг" - рынок с готовыми срубами до- (Russian_0514_51)
Смов, небольших церквей. При частых пожарах в старой Москве на таком (Russian_0514_52)
рынке погорельцы могли купить сруб. Высоко-Петровский монастырь занимал (Russian_0514_53)
целый квартал. В монастыре была построена усыпальница рода Нарышкиных. В (Russian_0514_54)
1691 г. здесь похоронен дед Петра (Russian_0514_55)
Кирилл Полуэктович Нарышкин. В (Russian_0514_56)
В. (Russian_0514_57)
XVIH! (Russian_0514_58)
XVIII - (Russian_0514_59)
ХIХ (Russian_0514_60)
XIV (Russian_0514_61)
XVII (Russian_0514_62)
I - (Russian_0514_63)
ХIХ (Russian_0514_64)
фальной площади, то на доме (Russian_0514_65)
10 вы увидите мемориальную доску: в этом (Russian_0514_66)
№ (Russian_0514_67)
подъезде, квартира (Russian_0514_68)
50, она также была описана в романе "Мастер и Марга- (Russian_0514_69)
Если вы выйдете на Садовую улицу и пойдете по направлению к Триум- (Russian_0514_7)
№ (Russian_0514_70)
доме жил писатель М.Булгаков. Квартира Булгакова находилась во 2-м (Russian_0514_9)
Жёлтое пятно (Russian_0649_1)
поясок (Russian_0649_10)
Роговица (Russian_0649_11)
Радужная (Russian_0649_12)
оболочка (Russian_0649_13)
Зрительный (Russian_0649_14)
нерв (Russian_0649_15)
Диск (Russian_0649_16)
зрительного (Russian_0649_17)
нерва (Russian_0649_18)
Нижняя косая (Russian_0649_19)
фовеа (Russian_0649_2)
мышца (Russian_0649_20)
Нижняя прямая мышца (Russian_0649_21)
Слизистая (Russian_0649_22)
Хрусталик (Russian_0649_23)
Склера (Russian_0649_24)
(белочная оболочка) (Russian_0649_25)
Эписклера (Russian_0649_3)
Прямая (Russian_0649_4)
мышца (Russian_0649_5)
Ресничное (Russian_0649_6)
(цилиарное) (Russian_0649_7)
тело (Russian_0649_8)
Ресничный (Russian_0649_9)
Отделы головного мозга (Russian_0650_1)
мозг (Russian_0650_10)
мозжечок (Russian_0650_11)
ствол (Russian_0650_12)
полушарие (Russian_0650_2)
большого мозга (Russian_0650_3)
промежуточный (Russian_0650_4)
мозг (Russian_0650_5)
средний (Russian_0650_6)
мозг (Russian_0650_7)
мост (Russian_0650_8)
продолговатый (Russian_0650_9)
седло (Russian_0651_1)
верхняя труба (Russian_0651_10)
руль (Russian_0651_11)
рычаги (Russian_0651_12)
тормозов (Russian_0651_13)
задний (Russian_0651_14)
тормоз (Russian_0651_15)
обод (Russian_0651_16)
верхнее (Russian_0651_17)
перо (Russian_0651_18)
трбс (Russian_0651_19)
тормозная (Russian_0651_2)
рулевая (Russian_0651_20)
труба (Russian_0651_21)
грипсы (Russian_0651_22)
покрышка (Russian_0651_23)
подседельная (Russian_0651_24)
труба (Russian_0651_25)
нижняя (Russian_0651_26)
труба (Russian_0651_27)
вилка (Russian_0651_28)
передний (Russian_0651_29)
колодка (Russian_0651_3)
тормоз (Russian_0651_30)
передний (Russian_0651_31)
переключатель (Russian_0651_32)
спицы (Russian_0651_33)
кассета (Russian_0651_34)
клапан (Russian_0651_35)
Пер. (Russian_0651_36)
втулка (Russian_0651_37)
шатуны (Russian_0651_38)
задний (Russian_0651_39)
вынос руля (Russian_0651_4)
переключател (Russian_0651_40)
цепь (Russian_0651_41)
каретка (Russian_0651_42)
нижнее (Russian_0651_43)
перо (Russian_0651_44)
передние (Russian_0651_45)
звёзды (Russian_0651_46)
натяжитель цепи (Russian_0651_47)
педаль (Russian_0651_48)
эксцентрик (Russian_0651_49)
манетки (Russian_0651_5)
колесо (Russian_0651_6)
подседельный (Russian_0651_7)
штырь (Russian_0651_8)
эксцентрик (Russian_0651_9)
Служебные части речи (Russian_0652_1)
словосочетании (Russian_0652_10)
и предложении (Russian_0652_11)
Служат для (Russian_0652_12)
связи ОЧП или (Russian_0652_13)
простых (Russian_0652_14)
предложений (Russian_0652_15)
В составе (Russian_0652_16)
сложных (Russian_0652_17)
Служат для (Russian_0652_18)
образования (Russian_0652_19)
Предлоги (Russian_0652_2)
наклонений глагола (Russian_0652_20)
или для выражения (Russian_0652_21)
различных оттенков (Russian_0652_22)
значения в (Russian_0652_23)
предложении (Russian_0652_24)
С XVII века (Russian_0652_25)
активный процесс (Russian_0652_26)
создания (Russian_0652_27)
предлогов (Russian_0652_28)
Самые древние - (Russian_0652_29)
Союзы (Russian_0652_3)
сочинительные (XVI (Russian_0652_30)
век). С XVII века - (Russian_0652_31)
составные союзы (Russian_0652_32)
От лат. (Russian_0652_33)
1896г. Ученый (Russian_0652_35)
Добиаш выделил (Russian_0652_36)
впервые частицу (Russian_0652_37)
как служебную (Russian_0652_38)
часть (Russian_0652_39)
Частицы (Russian_0652_4)
MyShared (Russian_0652_40)
Совет в памятку (Russian_0652_41)
Указывают на (Russian_0652_5)
различные (Russian_0652_6)
Грамматические (Russian_0652_7)
отношения между (Russian_0652_8)
словами в (Russian_0652_9)
САМОСТОЯТЕЛЬНЫЕ ЧАСТИ РЕЧИ (Russian_0653_1)
предмет (Russian_0653_10)
ученик, школа (Russian_0653_11)
Прилагательное (Russian_0653_12)
какой? чей? каков? (Russian_0653_13)
признак предмета (Russian_0653_14)
прилежный, мамин, (Russian_0653_15)
высок (Russian_0653_16)
Глагол (Russian_0653_17)
что делать? (Russian_0653_18)
что сделать? (Russian_0653_19)
Часть речи (Russian_0653_2)
действие предмета (Russian_0653_20)
читать, прочитать (Russian_0653_21)
Форма причастие (Russian_0653_22)
какой? (Russian_0653_23)
(что делающий? (Russian_0653_24)
что сделавший?) (Russian_0653_25)
признак предмета по (Russian_0653_26)
действию (Russian_0653_27)
читающий, (Russian_0653_28)
прочитанный (Russian_0653_29)
На какой вопрос (Russian_0653_3)
Форма (Russian_0653_30)
деепричастие (Russian_0653_31)
что делая? (Russian_0653_32)
что сделав? как? (Russian_0653_33)
добавочное действие (Russian_0653_34)
читая, прочитав (Russian_0653_35)
Наречие (Russian_0653_36)
как? где? когда? (Russian_0653_37)
и др. (Russian_0653_38)
признак действия (Russian_0653_39)
отвечает (Russian_0653_4)
свежо, вверху, вчера (Russian_0653_40)
Местоимение (Russian_0653_41)
кто? что? (Russian_0653_42)
указывает на (Russian_0653_43)
предмет (лицо) (Russian_0653_44)
я, ты, он, этот, сам (Russian_0653_45)
притяжательное (Russian_0653_46)
определительное и (Russian_0653_47)
др. (Russian_0653_48)
чей? (Russian_0653_49)
Что обозначает (Russian_0653_5)
какой? (Russian_0653_50)
указывает на (Russian_0653_51)
признак предмета (Russian_0653_52)
мой, наш, никакой. (Russian_0653_53)
ничей, каждый (Russian_0653_54)
местоименное (Russian_0653_55)
наречие (Russian_0653_56)
где? когда? и др. (Russian_0653_57)
указывает на (Russian_0653_58)
признак действия (Russian_0653_59)
Примеры (Russian_0653_6)
там, тогда, везде. (Russian_0653_60)
где-нибудь, некуда (Russian_0653_61)
Числительное (Russian_0653_62)
сколько? (Russian_0653_63)
который по счету? (Russian_0653_64)
количество, порядок (Russian_0653_65)
предметов при счете (Russian_0653_66)
двести, оба, седьмой (Russian_0653_67)
Существительное (Russian_0653_7)
кто? что? (Russian_0653_8)
(падежные вопросы) (Russian_0653_9)
