0	NUL
87	SYV OG FIRS
88	OTTE OG FIRS
89	NI OG FIRS
90	HALVFEMS
91	EN OG HALVFEMS
92	TO OG HALVFEMS
93	TRE OG HALVFEMS
94	FIRE OG HALVFEMS
95	FEM OG HALVFEMS
96	SEKS OG HALVFEMS
97	SYV OG HALVFEMS
98	OTTE OG HALVFEMS
99	NI OG HALVFEMS
100	HUNDREDE
1000	TUSIND
2000	TO TUSIND
2001	TO TUSIND OG ET
2002	TO TUSIND OG TO
2003	TO TUSIND OG TRE
2004	TO TUSIND OG FIRE
2005	TO TUSIND OG FEM
2006	TO TUSIND OG SEKS
2007	TO TUSIND OG SYV
2008	TO TUSIND OG OTTE
2009	TO TUSIND OG NI
2010	TO TUSIND OG TI
2011	TO TUSIND OG ELLEVE
2012	TO TUSIND OG TOLV
2013	TO TUSIND OG TRETTEN
2014	TO TUSIND OG FJORTEN
2015	TO TUSIND OG FEMTEN
2016	TO TUSIND OG SEKSTEN
2017	TO TUSIND OG SYTTEN
2018	TO TUSIND OG ATTEN
2019	TO TUSIND OG NITTEN
2020	TO TUSIND OG TYVE
1.	FØRSTE
2.	ANDEN
3.	TREDJE
4.	FJERDE
5.	FEMTE
6.	SJETTE
7.	SYVENDE
8.	OTTENDE
9.	NIENDE
10.	TIENDE
11.	ELLEVTE
12.	TOLVTE
13.	TRETTENDE
14.	FJORTENDE
15.	FEMTENDE
16.	SEKSTENDE
17.	SYTTENDE
18.	ATTENDE
19.	NITTENDE
20.	TYVENDE
21.	EN OG TYVENDE
22.	TO OG TYVENDE
23.	TRE OG TYVENDE
24.	FIRE OG TYVENDE
25.	FEM OG TYVENDE
26.	SEKS OG TYVENDE
27.	SYV OG TYVENDE
28.	OTTE OG TYVENDE
29.	NI OG TYVENDE
30.	TREDIVTE
31.	EN OG TREDIVTE
40.	FYRRE OG TYVENDE
50.	HALVTREDSINDS TYVENDE
60.	TRESINDS TYVENDE
70.	HALVFJERDSINDS TYVENDE
80.	FIRSINDSTYVENDE
90.	HALVFEMSINDS TYVENDE ENOGTYVE	EN OG TYVE
TOOGTYVE	TO OG TYVE
TREOGTYVE	TRE OG TYVE
FIREOGTYVE	FIRE OG TYVE
FEMOGTYVE	FEM OG TYVE
SEKSOGTYVE	SEKS OG TYVE
SYVOGTYVE	SYV OG TYVE
OTTEOGTYVE	OTTE OG TYVE
NIOGTYVE	NI OG TYVE
ENOGTREDIVE	EN OG TREDIVE
TOOGTREDIVE	TO OG TREDIVE
TREOGTREDIVE	TRE OG TREDIVE
FIREOGTREDIVE	FIRE OG TREDIVE
FEMOGTREDIVE	FEM OG TREDIVE
SEKSOGTREDIVE	SEKS OG TREDIVE
SYVOGTREDIVE	SYV OG TREDIVE
OTTEOGTREDIVE	OTTE OG TREDIVE
NIOGTREDIVE	NI OG TREDIVE
ENOGFYRRE	EN OG FYRRE
TOOGFYRRE	TO OG FYRRE
TREOGFYRRE	TRE OG FYRRE
FIREOGFYRRE	FIRE OG FYRRE
FEMOGFYRRE	FEM OG FYRRE
SEKSOGFYRRE	SEKS OG FYRRE
SYVOGFYRRE	SYV OG FYRRE
OTTEOGFYRRE	OTTE OG FYRRE
NIOGFYRRE	NI OG FYRRE
ENOGHALVTREDS	EN OG HALVTREDS
TOOGHALVTREDS	TO OG HALVTREDS
TREOGHALVTREDS	TRE OG HALVTREDS
FIREOGHALVTREDS	FIRE OG HALVTREDS
FEMOGHALVTREDS	FEM OG HALVTREDS
SEKSOGHALVTREDS	SEKS OG HALVTREDS
SYVOGHALVTREDS	SYV OG HALVTREDS
OTTEOGHALVTREDS	OTTE OG HALVTREDS
NIOGHALVTREDS	NI OG HALVTREDS
ENOGTRES	EN OG TRES
TOOGTRES	TO OG TRES
TREOGTRES	TRE OG TRES
FIREOGTRES	FIRE OG TRES
FEMOGTRES	FEM OG TRES
SEKSOGTRES	SEKS OG TRES
SYVOGTRES	SYV OG TRES
OTTEOGTRES	OTTE OG TRES
NIOGTRES	NI OG TRES
ENOGHALVFJERDS	EN OG HALVFJERDS
TOOGHALVFJERDS	TO OG HALVFJERDS
TREOGHALVFJERDS	TRE OG HALVFJERDS
FIREOGHALVFJERDS	FIRE OG HALVFJERDS
FEMOGHALVFJERDS	FEM OG HALVFJERDS
SEKSOGHALVFJERDS	SEKS OG HALVFJERDS
SYVOGHALVFJERDS	SYV OG HALVFJERDS
OTTEOGHALVFJERDS	OTTE OG HALVFJERDS
NIOGHALVFJERDS	NI OG HALVFJERDS
ENOGFIRS	EN OG FIRS
TOOGFIRS	TO OG FIRS
TREOGFIRS	TRE OG FIRS
FIREOGFIRS	FIRE OG FIRS
FEMOGFIRS	FEM OG FIRS
SEKSOGFIRS	SEKS OG FIRS
SYVOGFIRS	SYV OG FIRS
OTTEOGFIRS	OTTE OG FIRS
NIOGFIRS	NI OG FIRS
ENOGHALVFEMS	EN OG HALVFEMS
TOOGHALVFEMS	TO OG HALVFEMS
TREOGHALVFEMS	TRE OG HALVFEMS
FIREOGHALVFEMS	FIRE OG HALVFEMS
FEMOGHALVFEMS	FEM OG HALVFEMS
SEKSOGHALVFEMS	SEKS OG HALVFEMS
SYVOGHALVFEMS	SYV OG HALVFEMS
OTTEOGHALVFEMS	OTTE OG HALVFEMS
NIOGHALVFEMS	NI OG HALVFEMS
TOTUSINDOGET	TO TUSIND OG ET
TOTUSINDOGTO	TO TUSIND OG TO
TOTUSINDOGTRE	TO TUSIND OG TRE
TOTUSINDOGFIRE	TO TUSIND OG FIRE
TOTUSINDOGFEM	TO TUSIND OG FEM
TOTUSINDOGSEKS	TO TUSIND OG SEKS
TOTUSINDOGSYV	TO TUSIND OG SYV
TOTUSINDOGOTTE	TO TUSIND OG OTTE
TOTUSINDOGNI	TO TUSIND OG NI
TOTUSINDOGTI	TO TUSIND OG TI
TOTUSINDOGELLEVE	TO TUSIND OG ELLEVE
TOTUSINDOGTOLV	TO TUSIND OG TOLV
TOTUSINDOGTRETTEN	TO TUSIND OG TRETTEN
TOTUSINDOGFJORTEN	TO TUSIND OG FJORTEN
TOTUSINDOGFEMTEN	TO TUSIND OG FEMTEN
TOTUSINDOGSEKSTEN	TO TUSIND OG SEKSTEN
TOTUSINDOGSYTTEN	TO TUSIND OG SYTTEN
TOTUSINDOGATTEN	TO TUSIND OG ATTEN
TOTUSINDOGNITTEN	TO TUSIND OG NITTEN
TOTUSINDOGTYVE	TO TUSIND OG TYVE
ENOGTYVENDE	EN OG TYVENDE
TOOGTYVENDE	TO OG TYVENDE
TREOGTYVENDE	TRE OG TYVENDE
FIREOGTYVENDE	FIRE OG TYVENDE
FEMOGTYVENDE	FEM OG TYVENDE
SEKSOGTYVENDE	SEKS OG TYVENDE
SYVOGTYVENDE	SYV OG TYVENDE
OTTEOGTYVENDE	OTTE OG TYVENDE
NIOGTYVENDE	NI OG TYVENDE
ENOGTREDIVTE	EN OG TREDIVTE
FYRREOGTYVENDE	FYRRE OG TYVENDE
½	EN HALV
¼	EN FJERDEDEL
²	I ANDEN
toogtyve	TO OG TYVE
treogtyve	TRE OG TYVE
fireogtyve	FIRE OG TYVE
femogtyve	FEM OG TYVE
seksogtyve	SEKS OG TYVE
syvogtyve	SYV OG TYVE
otteogtyve	OTTE OG TYVE
niogtyve	NI OG TYVE
enogtredive	EN OG TREDIVE
toogtredive	TO OG TREDIVE
treogtredive	TRE OG TREDIVE
fireogtredive	FIRE OG TREDIVE
femogtredive	FEM OG TREDIVE
seksogtredive	SEKS OG TREDIVE
syvogtredive	SYV OG TREDIVE
otteogtredive	OTTE OG TREDIVE
niogtredive	NI OG TREDIVE
enogfyrre	EN OG FYRRE
toogfyrre	TO OG FYRRE
treogfyrre	TRE OG FYRRE
fireogfyrre	FIRE OG FYRRE
femogfyrre	FEM OG FYRRE
seksogfyrre	SEKS OG FYRRE
syvogfyrre	SYV OG FYRRE
otteogfyrre	OTTE OG FYRRE
niogfyrre	NI OG FYRRE
enoghalvtreds	EN OG HALVTREDS
tooghalvtreds	TO OG HALVTREDS
treoghalvtreds	TRE OG HALVTREDS
fireoghalvtreds	FIRE OG HALVTREDS
femoghalvtreds	FEM OG HALVTREDS
seksoghalvtreds	SEKS OG HALVTREDS
syvoghalvtreds	SYV OG HALVTREDS
otteoghalvtreds	OTTE OG HALVTREDS
nioghalvtreds	NI OG HALVTREDS
enogtres	EN OG TRES
toogtres	TO OG TRES
treogtres	TRE OG TRES
fireogtres	FIRE OG TRES
femogtres	FEM OG TRES
seksogtres	SEKS OG TRES
syvogtres	SYV OG TRES
otteogtres	OTTE OG TRES
niogtres	NI OG TRES
enoghalvfjerds	EN OG HALVFJERDS
tooghalvfjerds	TO OG HALVFJERDS
treoghalvfjerds	TRE OG HALVFJERDS
fireoghalvfjerds	FIRE OG HALVFJERDS
femoghalvfjerds	FEM OG HALVFJERDS
seksoghalvfjerds	SEKS OG HALVFJERDS
syvoghalvfjerds	SYV OG HALVFJERDS
otteoghalvfjerds	OTTE OG HALVFJERDS
nioghalvfjerds	NI OG HALVFJERDS
enogfirs	EN OG FIRS
toogfirs	TO OG FIRS
treogfirs	TRE OG FIRS
fireogfirs	FIRE OG FIRS
femogfirs	FEM OG FIRS
seksogfirs	SEKS OG FIRS
syvogfirs	SYV OG FIRS
otteogfirs	OTTE OG FIRS
niogfirs	NI OG FIRS
enoghalvfems	EN OG HALVFEMS
tooghalvfems	TO OG HALVFEMS
treoghalvfems	TRE OG HALVFEMS
fireoghalvfems	FIRE OG HALVFEMS
femoghalvfems	FEM OG HALVFEMS
seksoghalvfems	SEKS OG HALVFEMS
syvoghalvfems	SYV OG HALVFEMS
otteoghalvfems	OTTE OG HALVFEMS
nioghalvfems	NI OG HALVFEMS
totusindoget	TO TUSIND OG ET
totusindogto	TO TUSIND OG TO
totusindogtre	TO TUSIND OG TRE
totusindogfire	TO TUSIND OG FIRE
totusindogfem	TO TUSIND OG FEM
totusindogseks	TO TUSIND OG SEKS
totusindogsyv	TO TUSIND OG SYV
totusindogotte	TO TUSIND OG OTTE
totusindogni	TO TUSIND OG NI
totusindogti	TO TUSIND OG TI
totusindogelleve	TO TUSIND OG ELLEVE
totusindogtolv	TO TUSIND OG TOLV
totusindogtretten	TO TUSIND OG TRETTEN
totusindogfjorten	TO TUSIND OG FJORTEN
totusindogfemten	TO TUSIND OG FEMTEN
totusindogseksten	TO TUSIND OG SEKSTEN
totusindogsytten	TO TUSIND OG SYTTEN
totusindogatten	TO TUSIND OG ATTEN
totusindognitten	TO TUSIND OG NITTEN
totusindogtyve	TO TUSIND OG TYVE
enogtyvende	EN OG TYVENDE
toogtyvende	TO OG TYVENDE
treogtyvende	TRE OG TYVENDE
fireogtyvende	FIRE OG TYVENDE
femogtyvende	FEM OG TYVENDE
seksogtyvende	SEKS OG TYVENDE
syvogtyvende	SYV OG TYVENDE
otteogtyvende	OTTE OG TYVENDE
niogtyvende	NI OG TYVENDE
enogtredivte	EN OG TREDIVTE
fyrreogtyvende	FYRRE OG TYVENDE
