¼	en fjerdedel
37	syv og tredive
38	otte og tredive
39	ni og tredive
40	fyrre
40.	fyrre og tyvende
41	en og fyrre
42	to og fyrre
43	tre og fyrre
44	fire og fyrre
45	fem og fyrre
46	seks og fyrre
47	syv og fyrre
48	otte og fyrre
49	ni og fyrre
50	halvtreds
50.	halvtredsinds tyvende
51	en og halvtreds
52	to og halvtreds
53	tre og halvtreds
54	fire og halvtreds
55	fem og halvtreds
56	seks og halvtreds
57	syv og halvtreds
58	otte og halvtreds
59	ni og halvtreds
60	tres
60.	tresinds tyvende
61	en og tres
62	to og tres
63	tre og tres
64	fire og tres
65	fem og tres
66	seks og tres
67	syv og tres
68	otte og tres
69	ni og tres
70	halvfjerds
70.	halvfjerdsinds tyvende
71	en og halvfjerds
72	to og halvfjerds
73	tre og halvfjerds
74	fire og halvfjerds
75	fem og halvfjerds
76	seks og halvfjerds
77	syv og halvfjerds
78	otte og halvfjerds
79	ni og halvfjerds
80	firs
80.	firsindstyvende
81	en og firs
82	to og firs
83	tre og firs
84	fire og firs
85	fem og firs
86	seks og firs
87	syv og firs
88	otte og firs
89	ni og firs
90	halvfems
90.	halvfemsinds tyvende enogtyve	en og tyve
91	en og halvfems
92	to og halvfems
93	tre og halvfems
94	fire og halvfems
95	fem og halvfems
96	seks og halvfems
97	syv og halvfems
98	otte og halvfems
99	ni og halvfems
100	hundrede
1000	tusind
2000	to tusind
2001	to tusind og et
2002	to tusind og to
2003	to tusind og tre
2004	to tusind og fire
2005	to tusind og fem
2006	to tusind og seks
2007	to tusind og syv
2008	to tusind og otte
2009	to tusind og ni
2010	to tusind og ti
2011	to tusind og elleve
2012	to tusind og tolv
2013	to tusind og tretten
2014	to tusind og fjorten
2015	to tusind og femten
2016	to tusind og seksten
2017	to tusind og sytten
2018	to tusind og atten
2019	to tusind og nitten
2020	to tusind og tyve
